EXAMPLE 1: VALID DATA

catalogNumber,otherCatalogNumber,recordNumber,order_,superfamily,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,recordedBy,otherCollectors,identifiedBy,dateIdentified,verbatimDate,collectedYear,collectedMonth,collectedDay,sex,lifeStage,habitat,occurrenceRemarks,molecularOccurrenceRemarks,samplingProtocol,country,stateProvince,county,municipality,locality,elevationInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,verbatimLatitude,verbatimLongitude,georeferencedBy,disposition,isLoaned,loanInstitution,loaneeName,loanDate,loanReturnDate,preparations,freezer,rack,box,tubeSize,associatedSequences,associatedReferences,withholdData,reared,fieldNotes
,LEP75596,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75597,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75598,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75599,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75600,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75601,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75602,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75603,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75604,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75605,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75606,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75607,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75608,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75609,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75610,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
